CRN,Course,Area of LLC,Days,Time,Location,Seats Still Available,STATUS
9103,SPAN 200,  LLFL,MWF,0800-0850,MCM 207,0,0
9114,SPAN 200,  LLFL,TR,0930-1045,MCM 257,0,0
9115,SPAN 200,  LLFL,TR,1630-1745,MCM 260,0,0
9116,SPAN 200,  LLFL,TR,1800-1915,MCM 160,0,0
9117,SPAN 200,  LLFL,MW,1800-1915,MCM 162,0,0
9104,SPAN 200,  LLFL,MWF,0900-0950,MCM 207,0,0
9105,SPAN 200,  LLFL,MWF,1000-1050,MCM 207,0,0
9106,SPAN 200,  LLFL,TR,1100-1215,MCM 364,0,0
9107,SPAN 200,  LLFL,TR,1100-1215,MCM 260,0,0
9108,SPAN 200,  LLFL,TR,1330-1445,FERG 221,0,0
9109,SPAN 200,  LLFL,TR,1330-1445,MCM 307,0,0
9111,SPAN 200,  LLFL,TR,1500-1615,MCM 212,0,0
9118,SPAN 201,  LLFL,MWF,1200-1250,MCM 316,0,0
9119,SPAN 202,  LLFL,MWF,1100-1150,MCM 260,0,0
9120,SPAN 202,  LLFL,MWF,1300-1350,MCM 210,0,0
9121,SPAN 301,  LLFL,TR,0930-1045,MCM 364,9,1
9122,SPAN 302,  LLFL,MWF,0900-0950,MCM 262,2,1
9123,SPAN 303,  LLFL,MWF,1200-1250,TRIB 1213,9,1
9125,SPAN 340,  LLFL,TR,1330-1445,FERG 220,9,1
9126,SPAN 352,  AIGM  LLFL,TR,0930-1045,MCM 162,10,1
9127,SPAN 472,  AIWT  LLFL,MWF,1000-1050,MCM 260,11,1
8895,TCHG 510,,MTWRF,0800-1550,ARR ,0,0
8904,TCHG 510,,MTWRF,0800-1550,ARR ,0,0
8896,TCHG 510,,MTWRF,0800-1550,ARR ,0,0
8897,TCHG 510,,MTWRF,0800-1550,ARR ,0,0
8898,TCHG 510,,MTWRF,0800-1550,ARR ,0,0
8899,TCHG 510,,MTWRF,0800-1550,ARR ,0,0
8900,TCHG 510,,MTWRF,0800-1550,ARR ,0,0
8901,TCHG 510,,MTWRF,0800-1550,ARR ,0,0
8902,TCHG 510,,MTWRF,0800-1550,ARR ,0,0
8903,TCHG 510,,MTWRF,0800-1550,ARR ,1,1
9181,TCHG 511,,,,ARR ,0,0
9183,TCHG 511,,,,ARR ,0,0
9179,TCHG 511,,,,ARR ,0,0
9182,TCHG 512,,,,ARR ,0,0
9184,TCHG 512,,,,ARR ,0,0
9180,TCHG 512,,,,ARR ,0,0
8905,TCHG 580,,MW,1600-1900,MCM 300B,2,1
8906,TCHG 580,,T,1600-1900,MCM 200C,4,1
8907,TCHG 580,,MW,1700-2000,MCM 316,3,1
8255,THEA 130,,,,ARR ,0,0
8256,THEA 130,,,,ARR ,0,0
8257,THEA 130,,,,ARR ,0,0
8263,THEA 232,  AICE,MW,1600-1715,FERG T107,0,0
8264,THEA 232,  AICE,TR,1630-1745,FERG T107,0,0
8265,THEA 250,  AICE,TR,1100-1215,FERG 220,1,1
8266,THEA 250L,,,,ARR ,3,1
8267,THEA 250L,,,,ARR ,19,1
8268,THEA 252,,MW,1100-1215,FERG 222,0,0
9162,THEA 258,,MW,0930-1045,FERG 222,0,0
8269,THEA 311,,MW,1330-1445,FERG 221,0,0
8270,THEA 332,,MW,1300-1415,FERG T107,5,1
8262,THEA 333,,MW,1430-1545,FERG T107,5,1
8271,THEA 336,,TR,1100-1215,FERG T107,6,1
8279,THEA 338,,MW,1100-1215,FERG T107,0,0
8273,THEA 351,,TR,0930-1045,FERG 223,5,1
8272,THEA 354,,TR,1500-1615,FERG 222,14,1
8274,THEA 359,,TR,1100-1215,FERG 222,11,1
8275,THEA 380,,,,ARR ,0,0
8276,THEA 380,,MTWRF,1900-2300,FERG T107,0,0
8277,THEA 381,,,,ARR ,0,0
8278,THEA 430,,TR,1330-1445,FERG T107,8,1
8281,THEA 491,,,,ARR ,0,0
8282,THEA 498,,,,ARR ,6,1
9242,TRMB 132,,,,ARR ,0,0
9243,TRPT 130,,,,ARR ,0,0
9244,TRPT 132,,,,ARR ,0,0
9245,TRPT 134,,,,ARR ,0,0
9246,TUBA 132,,,,ARR ,0,0
9247,TUBA 134,,,,ARR ,0,0
9248,VIOL 334,,,,ARR ,0,0
9249,VOIC 131,,,,ARR ,0,0
9250,VOIC 134,,,,ARR ,0,0
9251,VOIC 232,,,,ARR ,0,0
9252,VOIC 332,,,,ARR ,0,0
9253,VOIC 332,,,,ARR ,0,0
9254,VOIC 431,,,,ARR ,0,0
9255,VOIC 432,,,,ARR ,0,0
9256,VOIC 434,,,,ARR ,0,0
9269,VOLA 130,,,,ARR ,0,0
9257,VOLA 332,,,,ARR ,0,0
